expression.among.q01	expression.among.q05	expression.among.q50	expression.among.q95	expression.among.q99	expression.within.P.q01	expression.within.P.q05	expression.within.P.q50	expression.within.P.q95	expression.within.P.q99	expression.within.R.q01	expression.within.R.q05	expression.within.R.q50	expression.within.R.q95	expression.within.R.q99	expression.sample.X12C_saliva.q01	expression.sample.X12C_saliva.q05	expression.sample.X12C_saliva.q50	expression.sample.X12C_saliva.q95	expression.sample.X12C_saliva.q99	expression.sample.X33C_saliva.q01	expression.sample.X33C_saliva.q05	expression.sample.X33C_saliva.q50	expression.sample.X33C_saliva.q95	expression.sample.X33C_saliva.q99	expression.sample.X01C_saliva.q01	expression.sample.X01C_saliva.q05	expression.sample.X01C_saliva.q50	expression.sample.X01C_saliva.q95	expression.sample.X01C_saliva.q99	expression.sample.X06C_saliva.q01	expression.sample.X06C_saliva.q05	expression.sample.X06C_saliva.q50	expression.sample.X06C_saliva.q95	expression.sample.X06C_saliva.q99	expression.sample.X11C_saliva.q01	expression.sample.X11C_saliva.q05	expression.sample.X11C_saliva.q50	expression.sample.X11C_saliva.q95	expression.sample.X11C_saliva.q99	expression.sample.X30C_saliva.q01	expression.sample.X30C_saliva.q05	expression.sample.X30C_saliva.q50	expression.sample.X30C_saliva.q95	expression.sample.X30C_saliva.q99	expression.sample.X27C_saliva.q01	expression.sample.X27C_saliva.q05	expression.sample.X27C_saliva.q50	expression.sample.X27C_saliva.q95	expression.sample.X27C_saliva.q99	expression.sample.X07C_saliva.q01	expression.sample.X07C_saliva.q05	expression.sample.X07C_saliva.q50	expression.sample.X07C_saliva.q95	expression.sample.X07C_saliva.q99	expression.sample.X02C_saliva.q01	expression.sample.X02C_saliva.q05	expression.sample.X02C_saliva.q50	expression.sample.X02C_saliva.q95	expression.sample.X02C_saliva.q99	expression.sample.X31C_saliva.q01	expression.sample.X31C_saliva.q05	expression.sample.X31C_saliva.q50	expression.sample.X31C_saliva.q95	expression.sample.X31C_saliva.q99	expression.sample.X35C_saliva.q01	expression.sample.X35C_saliva.q05	expression.sample.X35C_saliva.q50	expression.sample.X35C_saliva.q95	expression.sample.X35C_saliva.q99	expression.sample.X08C_saliva.q01	expression.sample.X08C_saliva.q05	expression.sample.X08C_saliva.q50	expression.sample.X08C_saliva.q95	expression.sample.X08C_saliva.q99	expression.sample.X03C_saliva.q01	expression.sample.X03C_saliva.q05	expression.sample.X03C_saliva.q50	expression.sample.X03C_saliva.q95	expression.sample.X03C_saliva.q99	expression.sample.X28C_saliva.q01	expression.sample.X28C_saliva.q05	expression.sample.X28C_saliva.q50	expression.sample.X28C_saliva.q95	expression.sample.X28C_saliva.q99	expression.sample.X29C_saliva.q01	expression.sample.X29C_saliva.q05	expression.sample.X29C_saliva.q50	expression.sample.X29C_saliva.q95	expression.sample.X29C_saliva.q99	expression.sample.X17C_saliva.q01	expression.sample.X17C_saliva.q05	expression.sample.X17C_saliva.q50	expression.sample.X17C_saliva.q95	expression.sample.X17C_saliva.q99	expression.sample.X10C_saliva.q01	expression.sample.X10C_saliva.q05	expression.sample.X10C_saliva.q50	expression.sample.X10C_saliva.q95	expression.sample.X10C_saliva.q99	expression.sample.X09C_saliva.q01	expression.sample.X09C_saliva.q05	expression.sample.X09C_saliva.q50	expression.sample.X09C_saliva.q95	expression.sample.X09C_saliva.q99	expression.sample.X23C_saliva.q01	expression.sample.X23C_saliva.q05	expression.sample.X23C_saliva.q50	expression.sample.X23C_saliva.q95	expression.sample.X23C_saliva.q99	expression.sample.X32C_saliva.q01	expression.sample.X32C_saliva.q05	expression.sample.X32C_saliva.q50	expression.sample.X32C_saliva.q95	expression.sample.X32C_saliva.q99	expression.sample.X05C_saliva.q01	expression.sample.X05C_saliva.q05	expression.sample.X05C_saliva.q50	expression.sample.X05C_saliva.q95	expression.sample.X05C_saliva.q99	expression.sample.X37C_saliva.q01	expression.sample.X37C_saliva.q05	expression.sample.X37C_saliva.q50	expression.sample.X37C_saliva.q95	expression.sample.X37C_saliva.q99	expression.sample.X36C_saliva.q01	expression.sample.X36C_saliva.q05	expression.sample.X36C_saliva.q50	expression.sample.X36C_saliva.q95	expression.sample.X36C_saliva.q99	expression.sample.X04C_saliva.q01	expression.sample.X04C_saliva.q05	expression.sample.X04C_saliva.q50	expression.sample.X04C_saliva.q95	expression.sample.X04C_saliva.q99	expression.sample.X16C_saliva.q01	expression.sample.X16C_saliva.q05	expression.sample.X16C_saliva.q50	expression.sample.X16C_saliva.q95	expression.sample.X16C_saliva.q99	expression.sample.X14C_saliva.q01	expression.sample.X14C_saliva.q05	expression.sample.X14C_saliva.q50	expression.sample.X14C_saliva.q95	expression.sample.X14C_saliva.q99	expression.sample.X20C_saliva.q01	expression.sample.X20C_saliva.q05	expression.sample.X20C_saliva.q50	expression.sample.X20C_saliva.q95	expression.sample.X20C_saliva.q99	expression.sample.X25C_saliva.q01	expression.sample.X25C_saliva.q05	expression.sample.X25C_saliva.q50	expression.sample.X25C_saliva.q95	expression.sample.X25C_saliva.q99	expression.sample.X40C_saliva.q01	expression.sample.X40C_saliva.q05	expression.sample.X40C_saliva.q50	expression.sample.X40C_saliva.q95	expression.sample.X40C_saliva.q99	expression.sample.X38C_saliva.q01	expression.sample.X38C_saliva.q05	expression.sample.X38C_saliva.q50	expression.sample.X38C_saliva.q95	expression.sample.X38C_saliva.q99	expression.sample.X21C_saliva.q01	expression.sample.X21C_saliva.q05	expression.sample.X21C_saliva.q50	expression.sample.X21C_saliva.q95	expression.sample.X21C_saliva.q99	expression.sample.X26C_saliva.q01	expression.sample.X26C_saliva.q05	expression.sample.X26C_saliva.q50	expression.sample.X26C_saliva.q95	expression.sample.X26C_saliva.q99	expression.sample.X39C_saliva.q01	expression.sample.X39C_saliva.q05	expression.sample.X39C_saliva.q50	expression.sample.X39C_saliva.q95	expression.sample.X39C_saliva.q99	expression.sample.X42C_saliva.q01	expression.sample.X42C_saliva.q05	expression.sample.X42C_saliva.q50	expression.sample.X42C_saliva.q95	expression.sample.X42C_saliva.q99	expression.sample.X19C_saliva.q01	expression.sample.X19C_saliva.q05	expression.sample.X19C_saliva.q50	expression.sample.X19C_saliva.q95	expression.sample.X19C_saliva.q99	expression.sample.X43C_saliva.q01	expression.sample.X43C_saliva.q05	expression.sample.X43C_saliva.q50	expression.sample.X43C_saliva.q95	expression.sample.X43C_saliva.q99	expression.sample.X24C_saliva.q01	expression.sample.X24C_saliva.q05	expression.sample.X24C_saliva.q50	expression.sample.X24C_saliva.q95	expression.sample.X24C_saliva.q99	expression.sample.X44C_saliva.q01	expression.sample.X44C_saliva.q05	expression.sample.X44C_saliva.q50	expression.sample.X44C_saliva.q95	expression.sample.X44C_saliva.q99	expression.sample.X41C_saliva.q01	expression.sample.X41C_saliva.q05	expression.sample.X41C_saliva.q50	expression.sample.X41C_saliva.q95	expression.sample.X41C_saliva.q99	expression.sample.X34C_saliva.q01	expression.sample.X34C_saliva.q05	expression.sample.X34C_saliva.q50	expression.sample.X34C_saliva.q95	expression.sample.X34C_saliva.q99	difference.between.q01	difference.between.q05	difference.between.q50	difference.between.q95	difference.between.q99	difference.within.q01	difference.within.q05	difference.within.q50	difference.within.q95	difference.within.q99	effect.q01	effect.q05	effect.q50	effect.q95	effect.q99	criteria.significance	criteria.significant	criteria.meaning	criteria.meaningful
298	-11.896	-7.083	-0.738	2.078	2.814	-12.107	-7.266	-0.678	2.152	2.824	-11.689	-6.875	-0.793	1.996	2.791	-12.354	-7.283	-0.731	2.503	3.353	-15.959	-10.759	-3.651	-0.545	0.251	-13.519	-8.356	-1.621	1.517	2.17	-15.275	-9.374	-2.394	0.686	1.448	-12.021	-7.293	-0.755	2.147	2.936	-4.35	-3.134	-1.239	0.089	0.41	-0.298	0.304	1.278	2.096	2.548	-14.341	-10.717	-3.078	0.155	0.855	-13.797	-7.522	-1.176	1.93	2.713	-5.698	-3.436	-0.669	1.04	1.597	-14.519	-10.035	-3.126	-0.115	0.628	-13.945	-10.036	-2.935	0.184	1.102	-3.896	-2.251	0.486	2.284	2.888	-1.936	-1.084	0.302	1.404	1.886	-0.007	0.539	1.619	2.454	2.768	-3.407	-1.757	1.193	2.989	3.599	-12.86	-8.045	-1.321	1.535	2.519	-0.573	0.171	1.797	2.925	3.229	-14.055	-8.831	-1.897	1.183	2.009	-4.284	-3.124	-0.453	1.179	1.697	-5.08	-3.187	-0.141	1.493	2.076	-14.51	-9.792	-3.056	-0.079	0.931	-5.707	-4.304	-1.52	0.349	0.933	-5.012	-3.541	-0.814	0.983	1.471	-3.506	-1.969	0.838	2.7	3.186	-11.374	-7.472	-0.839	2.3	2.85	-14.436	-8.381	-1.324	1.799	2.411	-2.437	-1.52	0.354	1.684	2.216	-14.876	-9.54	-3.326	-0.227	0.508	-12.834	-9.161	-2.282	0.771	1.479	-14.567	-8.817	-1.604	1.543	2.36	-4.369	-2.524	0.093	1.91	2.471	-14.561	-9.753	-2.578	0.503	1.157	-12.498	-7.112	-0.905	2.152	2.93	-12.707	-7.774	-1.144	2.032	2.877	-4.476	-2.582	0.266	2.089	2.513	-14.442	-9.815	-2.44	0.755	1.587	-3.688	-1.959	0.642	2.428	3.007	-3.595	-1.519	1.346	3.05	3.594	-5.23	-3.713	-1.003	0.774	1.36	-11.324	-6.672	-0.149	6.856	11.748	0.422	0.963	3.835	10.902	15.667	-6.737	-2.63	-0.034	2.279	5.868	0.482	FALSE	0.034	FALSE
299	-13.699	-8.795	-1.704	2.238	3.044	-13.744	-8.9	-1.946	1.872	2.648	-13.664	-8.678	-1.469	2.524	3.184	-12.185	-7.5	-0.579	2.404	3.278	-14.638	-10.551	-3.369	-0.537	0.227	-13.167	-8.039	-1.53	1.332	2.128	-1.74	-0.951	0.943	2.309	2.827	-11.577	-7.092	-0.749	2.299	3.145	-14.606	-10.708	-4.427	-1.306	-0.468	-15.463	-9.869	-3.54	-0.723	0.107	-15.339	-9.916	-2.9	0.105	0.836	-12.842	-8.384	-1.193	1.795	2.719	-0.194	0.262	1.468	2.452	2.713	-14.763	-9.638	-3.247	-0.115	0.721	-13.232	-9.532	-2.902	0.121	1.017	-12.749	-8.746	-1.748	1.199	1.825	-15.166	-10.121	-3.739	-0.426	0.295	-16.48	-10.661	-3.079	0.019	0.608	-12.695	-7.85	-1.17	2.012	2.696	-3.221	-1.919	1.02	2.85	3.381	-13.437	-8.541	-2.169	1.1	1.939	-13.835	-8.774	-1.794	1.327	2.144	-13.796	-10.094	-2.84	0.123	0.841	-14.607	-9.444	-2.577	0.51	1.463	-15.265	-10.117	-3.092	-0.113	0.74	-0.364	0.09	1.146	1.955	2.294	-12.91	-9.582	-3.195	-0.175	0.801	-3.831	-1.941	0.896	2.674	3.159	-13.18	-7.995	-0.924	2.156	2.935	-13.97	-8.962	-1.644	1.709	2.486	-13.445	-9.944	-2.892	0.103	0.819	-16.332	-10.739	-3.443	-0.191	0.593	-14.475	-9.646	-2.405	0.722	1.679	-0.015	0.77	2.24	3.394	3.769	0.949	1.425	2.477	3.331	3.677	-14.87	-10.599	-2.823	0.344	1.148	-13.711	-7.939	-0.911	2.164	2.9	-13.929	-7.485	-0.937	1.996	2.723	-14.58	-8.856	-1.938	1.132	1.818	-13.367	-9.454	-2.491	0.81	1.404	-13.885	-7.862	-1.693	1.507	2.242	-12.938	-7.802	-0.873	1.98	2.817	-15.515	-10.654	-3.397	-0.127	0.584	-12.494	-7.562	0.491	8.401	13.074	0.559	1.265	4.812	12.091	16.797	-5.559	-2.22	0.092	2.536	6.129	0.454	FALSE	0.092	FALSE
300	-13.548	-8.925	-1.948	1.623	2.553	-13.602	-8.929	-1.726	1.855	2.736	-13.467	-8.923	-2.143	1.332	2.294	-12	-7.231	-0.599	2.516	3.412	-2.093	-1.209	0.195	1.326	1.617	-14.511	-8.726	-1.866	1.353	2.31	-13.89	-9.17	-2.113	0.775	1.609	-12.486	-8.199	-1.04	2.26	2.946	-18.443	-12.156	-4.426	-1.29	-0.465	-15.028	-10.563	-3.793	-0.637	0.176	-14.033	-10.249	-3.195	-0.077	0.742	-3.195	-1.565	1.211	2.893	3.408	-13.37	-9.96	-3.018	-0.059	0.625	-14.535	-10.027	-3.187	0.015	0.693	-14.525	-9.866	-2.896	0.108	0.933	-15.084	-9.108	-1.655	1.408	2.084	-3.072	-2.175	-0.265	1.009	1.467	-14.792	-9.907	-3.157	-0.12	0.717	-13.056	-8.223	-1.131	1.965	2.643	-12.049	-8.327	-1.43	1.718	2.541	-14.66	-9.552	-2.191	1.043	1.717	-1.6	-0.346	1.5	2.787	3.232	-13.458	-9.464	-2.948	0.222	1.031	-13.616	-9.404	-2.611	0.659	1.616	-13.926	-9.457	-3.268	-0.181	0.447	-15.444	-10.391	-3.696	-0.697	0.022	-14.679	-10.264	-3.163	-0.017	0.753	-12.939	-7.737	-1.52	1.625	2.289	-12.813	-8.318	-0.945	2.147	2.843	-14.106	-8.279	-1.363	1.704	2.494	-13.646	-9.639	-2.944	0.322	1.172	-15.017	-10.542	-3.305	-0.258	0.603	-4.321	-2.733	-0.032	1.755	2.396	-13.776	-8.808	-1.545	1.497	2.223	-12.153	-8.958	-2.205	0.83	1.743	-14.541	-9.456	-2.745	0.369	1.068	-12.992	-7.521	-1.071	2.276	3.004	-11.842	-8.125	-1.015	2.053	2.981	-13.337	-8.8	-2.053	0.929	1.594	-12.987	-8.957	-2.626	0.625	1.476	-13.339	-8.482	-1.643	1.395	2.129	-13.098	-7.758	-1.121	1.933	2.676	-13.597	-9.554	-3.249	-0.209	0.566	-12.498	-7.914	-0.412	7.437	12.168	0.513	1.155	4.528	11.646	16.437	-6.546	-2.639	-0.08	2.276	5.757	0.459	FALSE	0.08	FALSE
301	2.929	4.48	6.592	9.297	9.734	4.116	4.501	6.653	9.263	9.754	2.682	4.023	6.354	9.297	9.705	6.329	6.577	6.979	7.412	7.603	9.407	9.491	9.662	9.835	9.901	4.15	4.403	4.922	5.449	5.624	6.177	6.297	6.575	6.89	7.005	3.583	3.909	4.743	5.418	5.701	6.301	6.389	6.571	6.773	6.836	5.396	5.526	5.791	6.024	6.156	8.442	8.512	8.696	8.899	8.971	4.317	4.554	5.16	5.744	5.956	8.054	8.134	8.344	8.548	8.645	5.21	5.337	5.641	5.937	6.046	8.052	8.158	8.355	8.553	8.656	6.049	6.203	6.573	6.899	7.023	6.592	6.67	6.861	7.057	7.14	3.803	4.055	4.459	4.838	5.001	6.749	6.902	7.239	7.558	7.712	8.231	8.363	8.626	8.894	8.984	6.569	6.676	6.948	7.248	7.337	5.113	5.287	5.707	6.073	6.232	6.157	6.282	6.539	6.796	6.87	6.334	6.453	6.719	7	7.123	9.347	9.419	9.606	9.797	9.895	6.947	7.033	7.235	7.446	7.544	7.239	7.316	7.534	7.758	7.855	7.219	7.371	7.659	7.981	8.111	4.79	5.048	5.665	6.151	6.359	4.959	5.132	5.63	6.072	6.253	1.981	2.335	3.038	3.666	3.879	5.754	5.835	6.09	6.333	6.44	4.925	5.082	5.479	5.867	5.986	4.506	4.757	5.285	5.756	5.95	4.389	4.675	5.099	5.517	5.748	6.234	6.34	6.614	6.892	6.993	4.245	4.56	5.238	5.828	6.037	8.293	8.423	8.708	8.988	9.13	6.892	6.97	7.241	7.535	7.642	8.422	8.516	8.708	8.929	9.03	5.215	5.366	5.78	6.212	6.374	4.56	4.828	5.419	5.969	6.221	7.443	7.53	7.737	7.935	8.035	-5.191	-3.664	-0.145	3.191	4.457	0.229	0.575	2.117	4.575	5.771	-5.294	-2.255	-0.061	2.308	6.811	0.475	FALSE	0.061	FALSE
302	-13.011	-8.526	-1.473	3.371	4.459	-12.994	-8.264	-0.882	4.025	4.673	-13.042	-8.798	-1.923	2.099	2.944	-0.276	0.679	2.68	3.909	4.283	1.433	1.78	2.444	3.065	3.354	-13.758	-8.876	-1.655	1.504	2.218	-13.159	-9.211	-2.157	0.882	1.597	-10.715	-7.832	-0.738	2.109	2.922	-16.557	-11.42	-4.519	-1.293	-0.619	-14.551	-10.367	-3.607	-0.658	0.123	-5.14	-3.571	-0.733	1.036	1.76	3.138	3.488	4.283	5.005	5.229	-14.988	-9.559	-3.093	0.085	0.754	-14.021	-10.147	-3.255	-0.161	0.79	-0.851	0.007	1.263	2.299	2.682	-13.623	-8.814	-1.896	1.264	1.995	0.491	0.912	1.813	2.523	2.816	-14.516	-9.442	-3.192	0.039	0.666	-13.057	-8.675	-1.195	1.938	2.778	-13.507	-8.68	-1.416	1.802	2.648	-13.652	-8.473	-1.983	1.132	1.847	2.573	2.888	3.738	4.429	4.648	-15.737	-10.326	-3.02	0.188	0.852	-12.567	-8.637	-2.514	0.406	1.3	-14.252	-9.977	-3.224	-0.053	0.697	-15.251	-11.013	-3.838	-0.598	0.049	-13.419	-9.493	-2.987	-0.043	0.677	-12.082	-7.678	-1.377	1.725	2.546	-11.431	-7.623	-0.898	2.093	3.004	-11.171	-7.404	-1.408	1.682	2.624	-14.696	-10.093	-3.067	0.319	0.907	-13.396	-9.862	-3.285	-0.079	0.678	0.81	1.391	2.407	3.311	3.636	-12.684	-7.878	-1.523	1.493	2.417	-13.911	-8.994	-2.248	0.789	1.502	-14.445	-8.943	-2.71	0.348	1.039	-13.053	-8.012	-1.189	1.926	2.702	-11.382	-6.949	-0.951	1.834	2.809	-4.18	-2.472	0.427	2.137	2.789	-16.107	-9.803	-2.412	0.611	1.372	-12.893	-8.839	-1.738	1.485	2.191	-11.872	-7.86	-0.935	2.088	2.882	-15.838	-10.105	-3.488	-0.38	0.606	-13.819	-9.353	-1.265	7.15	11.765	0.614	1.367	5.119	12.238	16.821	-6.818	-2.898	-0.226	1.828	4.486	0.396	FALSE	0.226	FALSE
303	-12.971	-8.36	-1.183	3.297	5.76	-13.38	-8.947	-1.835	4.965	5.864	-12.356	-7.587	-0.566	3.277	3.963	-12.146	-7.675	-0.662	2.597	3.294	-15.837	-10.79	-3.484	-0.463	0.196	-12.129	-8.739	-1.48	1.505	2.326	-1.953	-0.912	0.982	2.388	2.855	-12.782	-7.523	-0.89	2.112	3.114	-15.831	-11.476	-4.468	-1.277	-0.685	-14.823	-10.693	-3.667	-0.599	0.146	5.261	5.404	5.702	5.993	6.113	-12.512	-7.934	-1.288	1.863	2.707	-15.257	-10.157	-2.997	0.007	0.679	-15.729	-10.275	-3.298	-0.203	0.613	-1.318	-0.624	0.861	1.989	2.488	-13.547	-8.612	-2.01	1.253	2.239	-15.773	-10.642	-3.448	-0.419	0.255	-13.322	-9.589	-3.04	-0.207	0.421	-11.925	-8.186	-1.224	1.869	2.701	-13.134	-8.059	-1.116	1.686	2.546	-12.665	-8.885	-2.041	1.013	1.843	-13.589	-8.55	-1.851	1.407	2.08	-13.774	-9.749	-2.96	0.151	1.151	-4.799	-2.952	-0.087	1.496	2.067	-5.095	-3.568	-0.874	0.879	1.415	-15.404	-11.352	-3.935	-0.763	-0.043	-3.003	-1.8	0.148	1.515	1.894	-2.981	-1.821	1.081	2.691	3.362	0.371	1.359	2.867	4.062	4.4	-12.835	-8.429	-1.406	1.772	2.36	-13.84	-9.496	-2.851	0.127	0.965	-1.366	-0.381	0.918	1.972	2.308	-14.122	-9.158	-2.372	0.661	1.444	-1.21	-0.33	1.692	3.004	3.444	-13.411	-8.628	-2.274	0.847	1.562	-13.478	-9.743	-2.745	0.349	1.344	-3.277	-1.477	1.385	3.137	3.646	-13.956	-7.933	-0.919	2.124	2.8	2.2	2.585	3.449	4.165	4.422	-14.089	-9.52	-2.396	0.564	1.42	-14.391	-8.775	-1.761	1.301	2.019	-13.723	-8.096	-1.018	2.124	2.924	-15.123	-10.323	-3.328	-0.321	0.426	-12.229	-7.458	1.172	9.152	13.764	0.558	1.281	4.974	12.486	17.227	-5.348	-2.03	0.212	2.887	6.914	0.396	FALSE	0.212	FALSE
304	0.083	1.261	3.849	6.33	6.553	0.407	1.494	3.814	6.117	6.552	-0.147	1.067	3.901	6.361	6.554	0.516	1.515	3.226	4.362	4.761	1.981	2.227	2.798	3.347	3.609	-1.608	-0.303	1.595	2.954	3.363	3.094	3.302	3.937	4.535	4.742	0.578	1.359	2.933	4.048	4.45	6.199	6.262	6.454	6.643	6.735	1.49	1.847	2.461	3.013	3.266	4.946	5.065	5.367	5.688	5.829	1.623	2.122	3.242	4.256	4.578	3.36	3.579	4.066	4.514	4.664	4.126	4.29	4.658	5.017	5.152	1.965	2.263	2.992	3.638	3.893	-0.333	0.439	2.021	3.164	3.667	4.651	4.791	5.078	5.361	5.471	3.972	4.163	4.56	4.922	5.078	2.231	2.78	3.786	4.622	4.949	4.422	4.66	5.222	5.753	5.945	4.286	4.527	5.019	5.456	5.638	0.516	1.052	2.436	3.509	3.925	3.016	3.26	3.849	4.315	4.505	3.464	3.679	4.211	4.679	4.84	5.457	5.557	5.835	6.108	6.192	6.094	6.192	6.406	6.635	6.751	3.575	3.765	4.238	4.643	4.8	3.634	3.928	4.61	5.211	5.461	-0.592	0.408	2.313	3.631	4.179	0.031	0.938	2.425	3.589	3.995	0.469	1.071	2.038	2.87	3.161	4.908	5.035	5.346	5.648	5.778	-2.094	-1.01	0.832	2.288	2.67	1.582	2.06	3.149	4.037	4.36	1.202	1.702	2.693	3.54	3.846	1.304	1.758	2.604	3.359	3.628	0.653	1.337	2.774	3.948	4.46	2.193	2.693	3.762	4.681	5.003	4.861	5.016	5.457	5.86	6.013	4.779	4.916	5.326	5.699	5.841	-0.274	0.53	2.083	3.254	3.684	2.885	3.346	4.225	4.936	5.193	5.987	6.064	6.304	6.558	6.654	-4.922	-3.535	0.075	3.561	4.785	0.313	0.689	2.362	4.778	6.009	-5.135	-2.241	0.031	2.115	4.605	0.486	FALSE	0.031	FALSE
305	-13.117	-8.373	-1.591	1.44	2.371	-13.134	-8.338	-1.544	1.394	2.376	-13.106	-8.418	-1.641	1.489	2.37	-13.67	-8.348	-0.705	2.425	3.281	-3.208	-2.298	-0.34	1.045	1.659	-14.491	-8.397	-1.632	1.352	2.357	-13.021	-9.282	-2.163	0.904	1.602	-11.317	-6.772	-0.881	2.181	2.835	-4.524	-3.314	-1.257	0.093	0.582	-3.421	-2.217	-0.482	0.942	1.489	-14.582	-10.107	-3.051	-0.101	0.737	-11.993	-8.262	-1.291	1.891	2.507	-14.924	-9.895	-2.893	0.111	0.789	-14.484	-10.362	-3.316	-0.071	0.608	-15.078	-10.646	-3.01	0.113	0.786	-4.432	-2.22	0.654	2.333	2.913	-5.488	-3.958	-1.171	0.484	1.03	-14.767	-8.731	-2.946	0.044	0.642	-12.665	-7.979	-1.037	1.894	2.746	-13.198	-8.587	-1.313	1.778	2.685	-13.371	-9.08	-2.083	1.009	1.959	-15.771	-9.394	-1.858	1.312	2.056	-15.616	-9.645	-2.883	0.275	1.048	-2.595	-1.402	0.704	2.027	2.513	-15.9	-9.87	-3.353	-0.065	0.884	-5.484	-4.016	-1.385	0.395	0.912	-15.333	-10.179	-3.33	-0.131	0.786	-12.139	-7.682	-1.52	1.51	2.526	-13.043	-8.312	-0.992	2.28	3.004	-13.507	-8.211	-1.339	1.811	2.609	-14.258	-9.482	-2.897	0.261	1.126	-4.822	-3.58	-0.87	0.911	1.363	-13.467	-9.554	-2.396	0.65	1.585	-13.887	-8.581	-1.59	1.567	2.351	-4.522	-2.6	-0.002	1.732	2.186	-14.739	-9.358	-2.702	0.411	1.094	-13.949	-7.904	-0.965	2.065	2.773	-11.982	-7.526	-0.992	2.104	2.814	-13.27	-8.653	-1.94	1.009	1.72	-14.004	-9.8	-2.481	0.59	1.349	-13.682	-9.141	-1.827	1.455	2.25	-13.239	-8.154	-0.971	2.076	2.955	-13.572	-9.837	-3.266	-0.168	0.619	-11.973	-7.257	-0.024	7.147	11.99	0.447	1.014	4.082	11.264	16.281	-6.643	-2.598	-0.005	2.458	6.373	0.497	FALSE	0.005	FALSE
306	-4.046	-0.512	3.216	6.333	6.991	-4.166	-0.507	2.951	6.124	6.5	-3.894	-0.519	3.57	6.608	7.059	-0.26	0.715	2.655	3.989	4.321	2.149	2.384	2.957	3.472	3.656	-3.615	-1.873	0.666	2.462	3.017	3.49	3.754	4.338	4.827	4.994	0.587	1.456	2.925	4.081	4.536	6.122	6.208	6.4	6.59	6.691	1.431	1.696	2.364	3.007	3.237	4.372	4.52	4.884	5.248	5.364	-14.305	-8.022	-1.23	1.912	2.671	4.51	4.655	5.032	5.394	5.503	4.698	4.901	5.231	5.53	5.652	2.013	2.283	2.97	3.608	3.779	-0.178	0.532	1.99	3.183	3.685	1.111	1.465	2.196	2.881	3.116	-0.984	-0.185	1.099	2.102	2.438	-3.804	-1.773	1.19	2.867	3.467	4.571	4.839	5.38	5.876	6.127	2.111	2.416	3.31	4.004	4.316	-0.388	0.457	2.03	3.145	3.6	3.185	3.413	3.954	4.435	4.615	4.047	4.252	4.743	5.181	5.338	3.065	3.281	3.808	4.236	4.416	5.925	6.011	6.247	6.487	6.596	2.772	3.007	3.542	4.055	4.256	-1.273	-0.147	1.814	3.142	3.538	1.675	2.363	3.564	4.516	4.82	-3.732	-1.735	0.981	2.785	3.328	4.225	4.371	4.755	5.147	5.318	3.885	4.039	4.452	4.812	4.962	1.132	1.613	2.587	3.444	3.714	-0.251	0.723	2.266	3.418	3.803	-0.092	0.556	1.943	2.909	3.196	5.418	5.538	5.892	6.208	6.338	0.51	1.37	2.819	3.958	4.31	-11.876	-7.277	-0.894	2.265	3.033	4.465	4.686	5.141	5.571	5.802	5.013	5.198	5.551	5.898	6.044	-3.991	-2.208	0.611	2.351	2.891	-0.792	0.218	2.182	3.526	3.904	6.623	6.716	6.944	7.17	7.269	-7.621	-4.532	0.464	5.19	8.464	0.447	0.958	3.18	7.635	11.794	-4.55	-1.986	0.136	2.418	5.601	0.437	FALSE	0.136	FALSE
307	1.689	2.847	5.736	9.316	11.045	1.415	2.447	5.81	10.25	11.109	2.327	3.112	5.605	9.31	9.625	3.056	3.557	4.462	5.295	5.567	7.083	7.143	7.34	7.538	7.635	3.152	3.504	4.175	4.783	5.047	5.994	6.122	6.439	6.746	6.857	2.223	2.717	3.866	4.81	5.095	8.389	8.433	8.599	8.762	8.838	5.405	5.501	5.735	5.996	6.121	8.737	8.816	8.997	9.196	9.29	0.254	1.091	2.536	3.786	4.239	10.748	10.842	11.013	11.215	11.3	5.488	5.584	5.864	6.133	6.256	6.249	6.359	6.604	6.858	6.981	4.319	4.552	5.088	5.571	5.721	5.159	5.277	5.554	5.807	5.899	4.597	4.771	5.088	5.418	5.549	5.428	5.621	6.093	6.531	6.699	6.446	6.619	6.961	7.274	7.389	5.984	6.123	6.445	6.746	6.892	0.512	1.085	2.413	3.428	3.751	5.149	5.269	5.6	5.89	5.995	6.402	6.546	6.812	7.09	7.193	9.276	9.362	9.536	9.728	9.813	6.502	6.57	6.795	7.018	7.118	5.064	5.199	5.512	5.801	5.956	5.958	6.129	6.499	6.882	7.045	4.658	4.923	5.516	6.059	6.254	3.816	4.071	4.741	5.3	5.539	2.44	2.772	3.39	3.941	4.113	5.044	5.174	5.465	5.745	5.85	3.553	3.797	4.287	4.802	4.958	4.411	4.697	5.212	5.694	5.886	3.786	4.032	4.518	5.009	5.169	6.12	6.245	6.525	6.806	6.913	3.174	3.577	4.479	5.195	5.457	6.314	6.485	6.882	7.26	7.409	7.038	7.163	7.411	7.703	7.817	6.224	6.342	6.628	6.912	7.011	2.119	2.563	3.459	4.23	4.473	0.951	1.67	3.111	4.068	4.422	8.79	8.881	9.06	9.252	9.358	-6.843	-4.661	-0.095	4.259	6.138	0.295	0.733	2.815	6.214	7.94	-7.447	-2.605	-0.032	2.115	5.819	0.484	FALSE	0.032	FALSE
